title	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description
food process menu							
							
							
							
food course menu		Breakfast or Brunch					
		Lunch					
		Appetizer or Snack					
		Dinner					
		Dessert					
		Drink & Cocktail					
		Side Dish					
		Grilling or BBQ					
		Microwave					
		Quick or Easy					
		Slow-Cooker					
		Air Fryer					
		Instant Pot					
		Baking					
							
menu style							
		formal dining					
		casual dining					
		street food					
							
cultural event menu		Dinner Party					
		Game Day					
		Valentine's Day					
		St. Patrick's Day					
		Easter					
		Cinco de Mayo					
		Mother's Day					
		Memorial Day					
		Juneteenth					
		4th of July					
		Halloween					
		Thanksgiving					
		Hanukkah					
		Christmas					
		New Year's					
							
							
dietary pattern menu		Keto					
		Healthy					
		Vegetarian					
		Vegan					
		Mediterranean Diet					
		Weight Watchers					
		Low-Carb					
		Gluten-Free					
		Chicken					
		Salmon					
		Pork Chop					
		Ground Beef					
		Shrimp					
							
season menu		Spring					
		Summer					
		Fall					
		Winter					
							
							
cuisine menu	HANCESTRO:0005	European					
	HANCESTRO:0307		Italian				
	HANCESTRO:0309			Sardinian			
	HANCESTRO:0310			Val Borbera			
	HANCESTRO:0311			Friuli Venezia Giulia			
	HANCESTRO:0312			Carlantino			
	HANCESTRO:0556			Cilento			
	HANCESTRO:0559			Italian founder			
	HANCESTRO:0569			Talana			
	HANCESTRO:0313		Old Order Amish				
	HANCESTRO:0314		Sorbian				
	HANCESTRO:0315		Hutterite				
	HANCESTRO:0316		Amish				
	HANCESTRO:0317		Erasmus Rucphen				
	HANCESTRO:0318		Orcadian				
	HANCESTRO:0319		Korculan				
	HANCESTRO:0320		Dutch				
	HANCESTRO:0323			Dutch founder			
	HANCESTRO:0321		Finnish				
	HANCESTRO:0322			Finnish founder			
	HANCESTRO:0560			Northern Finnish founder			
	HANCESTRO:0354		Canadian				
	HANCESTRO:0558			French Canadian founder			
	HANCESTRO:0369		Icelandic				
	HANCESTRO:0383		Irish				
	HANCESTRO:0551			genetically homogenous Irish			
	HANCESTRO:0392		Spanish				
	HANCESTRO:0462		British				
	HANCESTRO:0561		Romanian founder				
	HANCESTRO:0563		South Tyrolean				
	HANCESTRO:0564		Vis founder				
	HANCESTRO:0565		Split founder				
	HANCESTRO:0590		European American				
	HANCESTRO:0008	Asian					
	HANCESTRO:0006		South Asian				
	HANCESTRO:0485			Bangladeshi			
	HANCESTRO:0487			Indian			
	HANCESTRO:0490			Pakistani			
	HANCESTRO:0491			Sri Lankan			
	HANCESTRO:0584			Sri Lankan Sinhalese			
	HANCESTRO:0589			Punjabi Sikh			
	HANCESTRO:0007		South East Asian				
	HANCESTRO:0494			Indonesian			
	HANCESTRO:0496			Malaysian			
	HANCESTRO:0500			Thai			
	HANCESTRO:0502			Vietnamese			
	HANCESTRO:0009		East Asian				
	HANCESTRO:0019			Japanese			
	HANCESTRO:0020			Taiwanese			
	HANCESTRO:0021			Chinese			
	HANCESTRO:0024				Macanese		
	HANCESTRO:0025				Singaporean Chinese		
	HANCESTRO:0026				Hong Kong Chinese		
	HANCESTRO:0027				Han Chinese		
	HANCESTRO:0577				Dai Chinese		
	HANCESTRO:0578				Hui Chinese		
	HANCESTRO:0579				Jingpo Chinese		
	HANCESTRO:0580				Malaysian Chinese		
	HANCESTRO:0581				Uygur Chinese		
	HANCESTRO:0022			Korean			
	HANCESTRO:0023			Mongolian			
	HANCESTRO:0582			Tibetan			
	HANCESTRO:0583			Taiwanese Han			
	HANCESTRO:0286		Central Asian				
	HANCESTRO:0554			Silk Road founder			
	HANCESTRO:0489		Nepalese				
	HANCESTRO:0498		Filipino				
